n,shape,seed,points_per_segment,old_count,new_count,edges,two_hops,predicted_peak,sampled_peak,orientation_barrier,source_old_loss,target_old_loss,source_error,target_error,source_repair_error,target_repair_error,max_source_local_ratio,max_target_local_ratio,nodes,max_rank2_tail,max_norm
5,star,0,7,13,3,"[[0, 1], [0, 2], [0, 3], [0, 4]]","[[0, 1, 1, 0, 2], [0, 2, 1, 0, 3], [0, 3, 1, 0, 4]]",0.14669377872840997,0.14669377872840983,0.14669377872840997,0.00028975305901060897,0.00016287432316759438,0.0,0.0,8.881784197001252e-16,6.661338147750939e-16,0.03316095808654063,0.0262819526928281,53,5.069551605660146e-16,3.9817827519068762
5,star,1,7,13,3,"[[0, 1], [0, 2], [0, 3], [0, 4]]","[[0, 1, 1, 0, 2], [0, 2, 1, 0, 3], [0, 3, 1, 0, 4]]",0.21356296090586147,0.21356296090586155,0.21356296090586147,0.00036029582530540253,0.0006351192085692685,0.0,0.0,3.3306690738754696e-16,5.551115123125783e-16,0.029949952578403233,0.04044326347143453,67,5.363124109951878e-16,4.257291117665247
5,binary,0,7,13,3,"[[0, 1], [0, 2], [1, 3], [1, 4]]","[[0, 1, 1, 0, 2], [0, 2, 0, 1, 3], [0, 3, 0, 1, 4]]",0.17200333565798748,0.17200333565798753,0.17200333565798748,0.00019942310684986883,0.0003592699432805474,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,0.019504164937789278,0.027050605336212546,39,3.868318700101752e-16,3.9004950993143392
5,binary,1,7,13,3,"[[0, 1], [0, 2], [1, 3], [1, 4]]","[[0, 1, 1, 0, 2], [0, 2, 0, 1, 3], [0, 3, 0, 1, 4]]",0.22868773936202286,0.22868773936202288,0.22868773936202286,0.0007754044684922807,0.00026655683864243896,0.0,0.0,4.440892098500626e-16,6.661338147750939e-16,0.03827139453854674,0.03050436890618023,67,4.036393965862687e-16,3.8298880862081197
5,random,0,7,13,3,"[[0, 1], [1, 2], [1, 3], [1, 4]]","[[0, 1, 0, 1, 2], [0, 2, 0, 1, 3], [0, 3, 0, 1, 4]]",0.16682018795790812,0.16682018795790815,0.16682018795790812,0.00011594643937319056,0.00018428595086032452,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,0.016237163813333674,0.022089381987610915,53,5.812763991485366e-16,4.243179504225861
5,random,1,7,13,3,"[[0, 1], [0, 2], [1, 3], [1, 4]]","[[0, 1, 1, 0, 2], [0, 2, 0, 1, 3], [0, 3, 0, 1, 4]]",0.19635355100111634,0.1963535510011164,0.19635355100111634,0.00031966867514835986,0.0006813264212556137,0.0,0.0,5.551115123125783e-16,6.661338147750939e-16,0.03048437515302641,0.05044378511117824,39,4.266820624542129e-16,3.688855023630155
9,star,0,7,25,7,"[[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 6], [0, 7], [0, 8]]","[[0, 1, 1, 0, 2], [0, 2, 1, 0, 3], [0, 3, 1, 0, 4], [0, 4, 1, 0, 5], [0, 5, 1, 0, 6], [0, 6, 1, 0, 7], [0, 7, 1, 0, 8]]",0.2511902908765989,0.2511902908765989,0.2511902908765989,0.0004944132887485184,0.0011663352927108995,0.0,0.0,8.881784197001252e-16,5.551115123125783e-16,0.028832413142252187,0.03440322733301682,67,8.739936454136904e-16,7.4811407267615175
9,star,1,7,25,7,"[[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 6], [0, 7], [0, 8]]","[[0, 1, 1, 0, 2], [0, 2, 1, 0, 3], [0, 3, 1, 0, 4], [0, 4, 1, 0, 5], [0, 5, 1, 0, 6], [0, 6, 1, 0, 7], [0, 7, 1, 0, 8]]",0.2546393788320356,0.2546393788320357,0.2546393788320356,0.0013502487903494435,0.0008509877143412696,0.0,0.0,6.661338147750939e-16,6.661338147750939e-16,0.05343286701506964,0.03212505593072239,81,1.1879993821952529e-15,7.3961604890455
9,binary,0,7,25,7,"[[0, 1], [0, 2], [1, 3], [1, 4], [2, 5], [2, 6], [3, 7], [3, 8]]","[[0, 1, 1, 0, 2], [0, 2, 0, 1, 3], [0, 3, 0, 1, 4], [1, 4, 0, 2, 5], [1, 5, 0, 2, 6], [2, 6, 1, 3, 7], [2, 7, 1, 3, 8]]",0.32059692088288266,0.3205969208828827,0.32059692088288266,0.0005441243781725713,0.00023858697849216847,0.0,0.0,8.881784197001252e-16,4.440892098500626e-16,0.036125721563548416,0.01824448751458996,81,8.483752131572762e-16,6.519721433668011
9,binary,1,7,25,7,"[[0, 1], [0, 2], [1, 3], [1, 4], [2, 5], [2, 6], [3, 7], [3, 8]]","[[0, 1, 1, 0, 2], [0, 2, 0, 1, 3], [0, 3, 0, 1, 4], [1, 4, 0, 2, 5], [1, 5, 0, 2, 6], [2, 6, 1, 3, 7], [2, 7, 1, 3, 8]]",0.31302412942694086,0.31302412942694086,0.31302412942694086,0.0012154591749036325,0.0014175428074166294,0.0,0.0,8.881784197001252e-16,6.661338147750939e-16,0.0376379707938501,0.035981263916909964,95,8.6517763312929e-16,6.620572470221421
