n,shape,seed,points_per_segment,old_count,new_count,edges,two_hops,rho,tau,predicted_peak,sampled_peak,source_old_loss,target_old_loss,orientation_barrier,source_error,source_repair_error,target_q_error,minimum_target_margin,nodes,max_rank2_tail,max_norm
5,star,0,7,13,3,"[[0, 1], [0, 2], [0, 3], [0, 4]]","[[0, 1, 1, 0, 2], [0, 2, 1, 0, 3], [0, 3, 1, 0, 4]]",0.015,0.025,0.14669377872840997,0.14669377872840983,0.00028975305901060897,0.0,0.14669377872840997,0.0,8.881784197001252e-16,1.1102230246251565e-16,0.6797097233657875,47,5.069551605660146e-16,3.9817827519068762
5,star,1,7,13,3,"[[0, 1], [0, 2], [0, 3], [0, 4]]","[[0, 1, 1, 0, 2], [0, 2, 1, 0, 3], [0, 3, 1, 0, 4]]",0.015,0.025,0.21356296090586147,0.21356296090586155,0.00036029582530540253,0.0,0.21356296090586147,0.0,3.3306690738754696e-16,2.220446049250313e-16,0.9044350260974336,61,5.363124109951878e-16,4.257291117665247
5,binary,0,7,13,3,"[[0, 1], [0, 2], [1, 3], [1, 4]]","[[0, 1, 1, 0, 2], [0, 2, 0, 1, 3], [0, 3, 0, 1, 4]]",0.015,0.025,0.17200333565798748,0.17200333565798753,0.00019942310684986883,4.3140830754274083e-32,0.17200333565798748,0.0,4.440892098500626e-16,1.1102230246251565e-16,0.7297069520674904,33,3.796911944179736e-16,3.889097792896184
5,binary,1,7,13,3,"[[0, 1], [0, 2], [1, 3], [1, 4]]","[[0, 1, 1, 0, 2], [0, 2, 0, 1, 3], [0, 3, 0, 1, 4]]",0.015,0.025,0.22868773936202286,0.22868773936202288,0.0007754044684922807,0.0,0.22868773936202286,0.0,4.440892098500626e-16,0.0,0.7737061368612739,61,4.4070919705716224e-16,3.8298880862081197
5,random,0,7,13,3,"[[0, 1], [1, 2], [1, 3], [1, 4]]","[[0, 1, 0, 1, 2], [0, 2, 0, 1, 3], [0, 3, 0, 1, 4]]",0.015,0.025,0.16682018795790812,0.16682018795790815,0.00011594643937319056,9.591131123048435e-32,0.16682018795790812,0.0,4.440892098500626e-16,2.220446049250313e-16,0.7247041368917125,47,5.042811120066759e-16,4.230358254829209
5,random,1,7,13,3,"[[0, 1], [0, 2], [1, 3], [1, 4]]","[[0, 1, 1, 0, 2], [0, 2, 0, 1, 3], [0, 3, 0, 1, 4]]",0.015,0.025,0.19635355100111634,0.1963535510011164,0.00031966867514835986,7.703719777548943e-33,0.19635355100111634,0.0,5.551115123125783e-16,2.220446049250313e-16,0.7382207365094177,33,4.266820624542129e-16,3.688855023630155
9,star,0,7,25,7,"[[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 6], [0, 7], [0, 8]]","[[0, 1, 1, 0, 2], [0, 2, 1, 0, 3], [0, 3, 1, 0, 4], [0, 4, 1, 0, 5], [0, 5, 1, 0, 6], [0, 6, 1, 0, 7], [0, 7, 1, 0, 8]]",0.015,0.025,0.2511902908765989,0.2511902908765989,0.0004944132887485184,2.465190328815662e-32,0.2511902908765989,0.0,8.881784197001252e-16,1.1102230246251565e-16,0.7156909051634431,61,9.288039961751054e-16,7.4811407267615175
9,star,1,7,25,7,"[[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 6], [0, 7], [0, 8]]","[[0, 1, 1, 0, 2], [0, 2, 1, 0, 3], [0, 3, 1, 0, 4], [0, 4, 1, 0, 5], [0, 5, 1, 0, 6], [0, 6, 1, 0, 7], [0, 7, 1, 0, 8]]",0.015,0.025,0.2546393788320356,0.2546393788320357,0.0013502487903494435,3.697785493223493e-32,0.2546393788320356,0.0,6.661338147750939e-16,2.220446049250313e-16,0.8981319324460857,75,1.1879993821952529e-15,7.3961604890455
9,binary,0,7,25,7,"[[0, 1], [0, 2], [1, 3], [1, 4], [2, 5], [2, 6], [3, 7], [3, 8]]","[[0, 1, 1, 0, 2], [0, 2, 0, 1, 3], [0, 3, 0, 1, 4], [1, 4, 0, 2, 5], [1, 5, 0, 2, 6], [2, 6, 1, 3, 7], [2, 7, 1, 3, 8]]",0.015,0.025,0.32059692088288266,0.3205969208828827,0.0005441243781725713,1.0515577496354308e-31,0.32059692088288266,0.0,8.881784197001252e-16,2.220446049250313e-16,0.830063139469876,75,8.483752131572762e-16,6.519721433668011
9,binary,1,7,25,7,"[[0, 1], [0, 2], [1, 3], [1, 4], [2, 5], [2, 6], [3, 7], [3, 8]]","[[0, 1, 1, 0, 2], [0, 2, 0, 1, 3], [0, 3, 0, 1, 4], [1, 4, 0, 2, 5], [1, 5, 0, 2, 6], [2, 6, 1, 3, 7], [2, 7, 1, 3, 8]]",0.015,0.025,0.31302412942694086,0.31302412942694086,0.0012154591749036325,2.3881531310401725e-32,0.31302412942694086,0.0,8.881784197001252e-16,2.220446049250313e-16,0.7522125332717164,89,8.6517763312929e-16,6.620572470221421
9,random,0,7,25,7,"[[0, 1], [0, 2], [0, 5], [2, 3], [2, 4], [2, 7], [2, 8], [3, 6]]","[[0, 1, 1, 0, 2], [0, 2, 1, 0, 5], [1, 3, 0, 2, 3], [1, 4, 0, 2, 4], [1, 5, 0, 2, 7], [1, 6, 0, 2, 8], [3, 7, 2, 3, 6]]",0.015,0.025,0.31786490537103484,0.31786490537103484,0.0003428106144533961,4.468157470978387e-32,0.31786490537103484,0.0,6.661338147750939e-16,2.220446049250313e-16,0.7187142549993276,61,7.268004064312143e-16,6.667385113986319
