n,shape,intermediate_rank,old_count,new_count,edges,new_two_hops,predicted_peak,sampled_peak,source_error,target_q_error,endpoint_old_loss,max_rank_tail,final_rank2_tail,max_norm,nodes
8,path,2,22,6,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7]]","[[0, 1, 0, 1, 2], [1, 2, 1, 2, 3], [2, 3, 2, 3, 4], [3, 4, 3, 4, 5], [4, 5, 4, 5, 6], [5, 6, 5, 6, 7]]",0.12943366580896817,0.12943366580896817,1.1102230246251565e-15,5.551115123125783e-16,7.3734227920865325e-31,6.92697922331735e-16,4.605491039310186e-16,5.885871942103726,41
8,path,3,22,6,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7]]","[[0, 1, 0, 1, 2], [1, 2, 1, 2, 3], [2, 3, 2, 3, 4], [3, 4, 3, 4, 5], [4, 5, 4, 5, 6], [5, 6, 5, 6, 7]]",0.0,1.7749370367472766e-30,1.1102230246251565e-15,5.551115123125783e-16,7.3734227920865325e-31,6.588392551122094e-16,4.605491039310186e-16,5.905327628276395,55
8,star,2,22,6,"[[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 6], [0, 7]]","[[0, 1, 1, 0, 2], [0, 2, 1, 0, 3], [0, 3, 1, 0, 4], [0, 4, 1, 0, 5], [0, 5, 1, 0, 6], [0, 6, 1, 0, 7]]",0.3417011756070389,0.3417011756070388,4.440892098500626e-16,2.220446049250313e-16,6.788903053965006e-32,6.938015064856338e-16,4.694830765090456e-16,6.515398285776848,55
8,star,3,22,6,"[[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 6], [0, 7]]","[[0, 1, 1, 0, 2], [0, 2, 1, 0, 3], [0, 3, 1, 0, 4], [0, 4, 1, 0, 5], [0, 5, 1, 0, 6], [0, 6, 1, 0, 7]]",0.0,2.5942276350896067e-31,4.440892098500626e-16,2.220446049250313e-16,6.788903053965006e-32,6.277475786034604e-16,4.694830765090456e-16,7.111930439765423,55
8,binary,2,22,6,"[[0, 1], [0, 2], [1, 3], [1, 4], [2, 5], [2, 6], [3, 7]]","[[0, 1, 1, 0, 2], [0, 2, 0, 1, 3], [0, 3, 0, 1, 4], [1, 4, 0, 2, 5], [1, 5, 0, 2, 6], [2, 6, 1, 3, 7]]",0.05060660741657273,0.05060660741657273,4.440892098500626e-16,4.440892098500626e-16,1.461780827789912e-31,6.304051102600796e-16,4.3726088752266626e-16,5.7718646574005446,27
8,binary,3,22,6,"[[0, 1], [0, 2], [1, 3], [1, 4], [2, 5], [2, 6], [3, 7]]","[[0, 1, 1, 0, 2], [0, 2, 0, 1, 3], [0, 3, 0, 1, 4], [1, 4, 0, 2, 5], [1, 5, 0, 2, 6], [2, 6, 1, 3, 7]]",0.0,4.029045443658097e-31,4.440892098500626e-16,4.440892098500626e-16,1.461780827789912e-31,4.1383791324084587e-16,4.3726088752266626e-16,5.787221916329163,55
8,random,2,22,6,"[[0, 1], [0, 4], [1, 2], [1, 3], [4, 6], [2, 7], [3, 5]]","[[0, 1, 1, 0, 4], [0, 2, 0, 1, 2], [0, 3, 0, 1, 3], [1, 4, 0, 4, 6], [2, 5, 1, 2, 7], [3, 6, 1, 3, 5]]",0.23349236103885893,0.23349236103885895,3.885780586188048e-16,2.220446049250313e-16,2.434375449705466e-31,7.989877998523349e-16,3.616188984352692e-16,6.412470757841669,55
8,random,3,22,6,"[[0, 1], [0, 4], [1, 2], [1, 3], [4, 6], [2, 7], [3, 5]]","[[0, 1, 1, 0, 4], [0, 2, 0, 1, 2], [0, 3, 0, 1, 3], [1, 4, 0, 4, 6], [2, 5, 1, 2, 7], [3, 6, 1, 3, 5]]",0.0,3.2047474274603605e-31,3.885780586188048e-16,2.220446049250313e-16,2.434375449705466e-31,5.642817965679368e-16,3.616188984352692e-16,6.132504199819732,55
16,path,2,46,14,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15]]","[[0, 1, 0, 1, 2], [1, 2, 1, 2, 3], [2, 3, 2, 3, 4], [3, 4, 3, 4, 5], [4, 5, 4, 5, 6], [5, 6, 5, 6, 7], [6, 7, 6, 7, 8], [7, 8, 7, 8, 9], [8, 9, 8, 9, 10], [9, 10, 9, 10, 11], [10, 11, 10, 11, 12], [11, 12, 11, 12, 13], [12, 13, 12, 13, 14], [13, 14, 13, 14, 15]]",0.35243584931832966,0.35243584931832966,1.1102230246251565e-15,2.220446049250313e-16,2.295708493709585e-31,1.3499296427278736e-15,8.699397638761045e-16,12.143575939182059,83
16,path,3,46,14,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15]]","[[0, 1, 0, 1, 2], [1, 2, 1, 2, 3], [2, 3, 2, 3, 4], [3, 4, 3, 4, 5], [4, 5, 4, 5, 6], [5, 6, 5, 6, 7], [6, 7, 6, 7, 8], [7, 8, 7, 8, 9], [8, 9, 8, 9, 10], [9, 10, 9, 10, 11], [10, 11, 10, 11, 12], [11, 12, 11, 12, 13], [12, 13, 12, 13, 14], [13, 14, 13, 14, 15]]",0.0,1.8049815438797174e-29,1.1102230246251565e-15,2.220446049250313e-16,2.295708493709585e-31,9.493896241749277e-16,8.699397638761045e-16,11.749810494814223,103
